date,year,month_num,month,sunshine_hours
1965-03-01,1965,3,Mar,125.6
1965-04-01,1965,4,Apr,125.5
1965-05-01,1965,5,May,175.4
1965-06-01,1965,6,Jun,177.5
1965-07-01,1965,7,Jul,110.2
1965-08-01,1965,8,Aug,184.4
1965-09-01,1965,9,Sep,128.5
1965-10-01,1965,10,Oct,132.0
1965-11-01,1965,11,Nov,84.2
1965-12-01,1965,12,Dec,51.8
1966-01-01,1966,1,Jan,31.8
1966-02-01,1966,2,Feb,39.8
1966-03-01,1966,3,Mar,117.0
1966-04-01,1966,4,Apr,92.6
1966-05-01,1966,5,May,208.5
1966-06-01,1966,6,Jun,188.6
1966-07-01,1966,7,Jul,158.5
1966-08-01,1966,8,Aug,197.8
1966-09-01,1966,9,Sep,157.7
1966-10-01,1966,10,Oct,78.4
1966-11-01,1966,11,Nov,50.9
1966-12-01,1966,12,Dec,36.5
1967-01-01,1967,1,Jan,64.3
1967-02-01,1967,2,Feb,81.5
1967-03-01,1967,3,Mar,171.3
1967-04-01,1967,4,Apr,137.5
1967-05-01,1967,5,May,180.1
1967-06-01,1967,6,Jun,201.2
1967-07-01,1967,7,Jul,222.1
1967-08-01,1967,8,Aug,168.8
1967-09-01,1967,9,Sep,115.3
1967-10-01,1967,10,Oct,104.0
1967-11-01,1967,11,Nov,64.3
1967-12-01,1967,12,Dec,64.1
1968-01-01,1968,1,Jan,40.0
1968-02-01,1968,2,Feb,45.5
1968-03-01,1968,3,Mar,126.6
